Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25731.16492,28594.09183,30129.96237,33643.63046,33149.57425,34045.39428,34962.95671,35548.65614,36559.27645,37570.91678,39360.43209,40186.94531,41161.56258,42900.81335,44006.71276,44780.11567,45651.59194,47380.16645,48078.84387,46708.73586,47929.44346,49960.26787,53778.48867,53672.10422,52073.98462,45900.70303,45281.30192,48929.44701,50114.15039,51879.73634,50682.75956,54901.51263,61248.18013,
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20525.45338,19936.04426,19198.94919,19290.97322,19920.12349,20834.56613,21722.05001,22003.22063,22914.25222,24518.3605,25732.9965,26625.89831,27408.45,27229.95641,27829.52484,29274.64569,30511.05209,31344.19623,30761.92722,29242.29052,29629.25251,30053.67112,30723.17302,29911.91684,31255.38771,31746.80338,32112.20389,34067.84618,35647.13697,35780.75967,27595.96945,33614.73952,40942.77672,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.2416397,1166.989741,2155.146708,2844.337345,3270.673181,3601.951584,4127.603805,4291.22947,4743.326355,4911.700284,5405.697125,5959.024831,6879.306942,7697.021501,8595.84805,8698.188995,9087.644752,9757.991528,10109.39074,10788.27786,11148.38783,11825.99325,12869.75194,13582.1737,14801.22216,16354.49014,16276.04664,18379.5525,20950.19985,
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226.139652,5335.578799,4922.457217,4645.893572,4194.881095,3849.897232,4043.749903,4601.503085,5066.942834,5337.015841,5801.758126,6244.747743,6704.592281,7369.845904,8491.894834,9647.12118,11006.4559,12332.50292,13898.99968,14050.57155,15361.8317,16563.20141,18105.28672,18994.19019,19007.99732,18095.70342,17785.9432,18356.06606,19430.90921,20106.06891,20317.23192,21928.68576,22550.64044,
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4460.736216,5047.703235,5702.919088,6072.681535,6068.637377,6083.620027,6075.912802,6226.488985,6315.115279,6771.940936,7524.977561,7828.2066,8121.277157,8806.397609,9192.028333,9405.616622,9840.065279,10142.56911,9895.089504,9645.413767,9638.917829,9588.608909,9096.728903,9278.691134,9191.04276,9250.639508,9088.987347,8798.699057,8929.624538,9303.718003,8010.944983,9740.070948,11189.86408,
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34870.74775,34955.55828,35990.57811,37749.20837,38518.41744,40763.38661,42317.92417,44753.95873,46678.6018,48664.53995,53921.77368,58484.1524,58138.39981,60908.03971,63578.19228,66239.46679,71656.72358,75627.24753,75193.34639,71022.30785,70627.82219,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83380.8749,85145.94364,80381.44549,86699.25199,95868.78026,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.728914,2446.015661,2491.526708,2606.575801,2732.442114,2865.227046,2988.572101,3132.592373,3267.226137,3267.432226,3364.024366,3436.37487,3514.591376,3617.40341,3802.810904,4025.109046,4273.038123,4509.210554,4794.6037,4902.610577,5079.382721,5363.987903,5814.070135,6500.876807,6920.778861,6992.127581,7345.826841,8244.933446,8669.827849,8890.462954,8110.114756,8885.707639,9737.676068,
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617.944703,6793.807941,6797.153941,7183.895866,7644.218602,8008.05893,8208.219593,8504.681479,8503.697887,8541.710725,8994.743062,9202.876484,9510.823883,9693.555482,10407.83935,10954.86026,11614.49854,12522.51594,13281.07439,13222.74888,14254.51977,14989.15778,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14971.05467,15307.94124,14900.10422,16260.09875,17827.64105,
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9648.120217,9565.672132,9198.006658,9462.233514,9831.61099,10216.85881,10797.46556,11485.46018,12028.68251,12214.55429,13022.78415,12965.91796,13217.98748,13718.33759,14231.91706,15203.75684,16562.12509,17298.19957,17667.48137,16814.08293,16573.82236,16744.36654,15739.04167,15775.08686,15613.28135,15978.84185,16406.27369,16233.79215,16449.62857,16759.38084,14788.33368,15304.12928,18210.1343,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55168.25088,57099.02565,59512.9402,59542.96976,61175.54851,63693.09165,65179.13607,63863.7108,62830.2713,64276.50059,66212.60982,68169.50228,70522.90358,72627.3339,73618.9315,74921.41361,79312.33331,80302.21993,79040.28831,76993.47462,78784.82722,82300.65605,86588.60952,82305.27625,80027.9853,61572.6217,55477.4694,60173.05113,61084.25804,64029.443,65054.19432,66347.65806,69297.93271,
